audit_id,transaction_id,exception_type,severity,difference,deterministic_explanation,ai_explanation,explanation_source,recommended_action,ml_status,ml_exception_probability,ml_predicted_exception_type,ml_exception_type_probability,hybrid_decision,agent_decision,agent_decision_reason,action_type,action_status,execution_mode,escalation_required,escalation_priority,escalation_status,review_owner,review_status,reviewer,reviewer_action,reviewer_note,audit_event_status
AUDIT_00001,TXN00002,MISSING_SETTLEMENT,HIGH,5999.0,No settlement record was found for transaction TXN00002.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00002. No settlement record was found for transaction TXN00002. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI,Verify the settlement batch and check whether the transaction is still pending.,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00002,TXN00017,MISSING_SETTLEMENT,HIGH,999.0,No settlement record was found for transaction TXN00017.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00017. No settlement record was found for transaction TXN00017. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI,Verify the settlement batch and check whether the transaction is still pending.,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00003,TXN00019,MISSING_SETTLEMENT,HIGH,299.0,No settlement record was found for transaction TXN00019.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00019. No settlement record was found for transaction TXN00019. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI,Verify the settlement batch and check whether the transaction is still pending.,EXCEPTION,1.0,MISSING_SETTLEMENT,0.99,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00004,TXN00025,DUPLICATE_SETTLEMENT,MEDIUM,-11.78,"Multiple settlement records were found for transaction TXN00025, including a duplicate settlement.","A DUPLICATE_SETTLEMENT exception was identified for transaction TXN00025 due to multiple settlement records being detected, resulting in a discrepancy of -11.78. Multiple settlement records were found for transaction TXN00025, including a duplicate settlement. Verify the duplicate settlement entries and investigate possible over-settlement.",GEMINI,Verify the duplicate settlement entries and investigate possible over-settlement.,EXCEPTION,0.955,DUPLICATE_SETTLEMENT,0.94,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00005,TXN00027,DATE_MISMATCH,LOW,0.0,The payment date differs from the clean reference payment date.,Transaction TXN00027 has triggered a low-severity DATE_MISMATCH exception because The payment date differs from the clean reference payment date. (date difference: 0.0). Please perform the following recommended action to resolve the discrepancy: Verify the payment processing date against the source payment record..,GEMINI,Verify the payment processing date against the source payment record.,MATCHED,0.0298571428571428,DATE_MISMATCH,0.595,RULE_EXCEPTION_ML_DISAGREEMENT,DATE_REVIEW,The exception is categorized as DATE_REVIEW and does not require escalation.,CREATE_DATE_REVIEW,REVIEW_REQUIRED,SIMULATED,NO,,,,PENDING,,,,OPEN
AUDIT_00006,TXN00029,PARTIAL_SETTLEMENT,MEDIUM,99.8,The settlement amount is lower than the expected gross settlement amount.,A PARTIAL_SETTLEMENT exception with MEDIUM severity was identified for transaction TXN00029. The settlement amount is lower than the expected gross settlement amount. Settlement reconciliation shows a difference of 99.8. Recommended action: Verify whether the remaining amount is pending or was incorrectly settled.,RULE_TEMPLATE,Verify whether the remaining amount is pending or was incorrectly settled.,EXCEPTION,0.92,PARTIAL_SETTLEMENT,0.64,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00007,TXN00034,AMOUNT_MISMATCH,HIGH,500.0,The settlement amount does not match the clean reference amount.,Transaction TXN00034 triggered a HIGH severity AMOUNT_MISMATCH exception. The settlement amount does not match the clean reference amount. A variance of 500.0 was detected during reconciliation. Recommended action: Compare the expected and actual settlement amounts and investigate the difference.,GEMINI,Compare the expected and actual settlement amounts and investigate the difference.,EXCEPTION,0.98,AMOUNT_MISMATCH,0.945,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00008,TXN00035,DUPLICATE_SETTLEMENT,MEDIUM,-283.16,"Multiple settlement records were found for transaction TXN00035, including a duplicate settlement.","A DUPLICATE_SETTLEMENT exception was identified for transaction TXN00035 due to multiple settlement records being detected, resulting in a discrepancy of -283.16. Multiple settlement records were found for transaction TXN00035, including a duplicate settlement. Verify the duplicate settlement entries and investigate possible over-settlement.",GEMINI,Verify the duplicate settlement entries and investigate possible over-settlement.,EXCEPTION,0.91,DUPLICATE_SETTLEMENT,0.945,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00009,TXN00039,DUPLICATE_PAYMENT,MEDIUM,299.0,"Multiple payment records were found for transaction TXN00039, including a duplicate payment.","A DUPLICATE_PAYMENT exception with MEDIUM severity has been identified for transaction TXN00039. Multiple payment records were found for transaction TXN00039, including a duplicate payment. Variance: 299.0. Recommended action: Verify the duplicate payment records and determine whether a reversal or refund is required.",GEMINI,Verify the duplicate payment records and determine whether a reversal or refund is required.,EXCEPTION,0.975,DUPLICATE_PAYMENT,0.915,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00010,TXN00050,AMOUNT_MISMATCH,HIGH,981.32,The settlement amount does not match the clean reference amount.,Transaction TXN00050 triggered a HIGH severity AMOUNT_MISMATCH exception. The settlement amount does not match the clean reference amount. A variance of 981.32 was detected during reconciliation. Recommended action: Compare the expected and actual settlement amounts and investigate the difference.,GEMINI,Compare the expected and actual settlement amounts and investigate the difference.,EXCEPTION,1.0,AMOUNT_MISMATCH,0.91,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
