transaction_id,exception_type,severity,difference,explanation,recommended_action,priority,resolution_category,next_step,escalation_required,ml_status,ml_exception_probability,ml_predicted_exception_type,ml_exception_type_probability,hybrid_decision,agent_decision,agent_decision_reason,action_type,action_status,requires_human,execution_mode,escalation_priority,escalation_reason,escalation_status,review_owner,escalation_mode
TXN00002,MISSING_SETTLEMENT,HIGH,5999.0,No settlement record was found for transaction TXN00002.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_SETTLEMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00017,MISSING_SETTLEMENT,HIGH,999.0,No settlement record was found for transaction TXN00017.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_SETTLEMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00019,MISSING_SETTLEMENT,HIGH,299.0,No settlement record was found for transaction TXN00019.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,0.99,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_SETTLEMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00025,DUPLICATE_SETTLEMENT,MEDIUM,-11.78,"Multiple settlement records were found for transaction TXN00025, including a duplicate settlement.",Verify the duplicate settlement entries and investigate possible over-settlement.,MEDIUM,DUPLICATE_REVIEW,Review the settlement records and determine whether the transaction was settled more than once.,YES,EXCEPTION,0.955,DUPLICATE_SETTLEMENT,0.94,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The DUPLICATE_SETTLEMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00029,PARTIAL_SETTLEMENT,MEDIUM,99.8,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,0.92,PARTIAL_SETTLEMENT,0.64,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The PARTIAL_SETTLEMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00034,AMOUNT_MISMATCH,HIGH,500.0,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,0.98,AMOUNT_MISMATCH,0.945,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity AMOUNT_MISMATCH requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00035,DUPLICATE_SETTLEMENT,MEDIUM,-283.16,"Multiple settlement records were found for transaction TXN00035, including a duplicate settlement.",Verify the duplicate settlement entries and investigate possible over-settlement.,MEDIUM,DUPLICATE_REVIEW,Review the settlement records and determine whether the transaction was settled more than once.,YES,EXCEPTION,0.91,DUPLICATE_SETTLEMENT,0.945,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The DUPLICATE_SETTLEMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00039,DUPLICATE_PAYMENT,MEDIUM,299.0,"Multiple payment records were found for transaction TXN00039, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.975,DUPLICATE_PAYMENT,0.915,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The DUPLICATE_PAYMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00050,AMOUNT_MISMATCH,HIGH,981.32,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,1.0,AMOUNT_MISMATCH,0.91,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity AMOUNT_MISMATCH requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00051,MULTIPLE_PAYMENTS,MEDIUM,2399.7,Multiple payment records exist for transaction TXN00051.,Verify why multiple payments exist for the same transaction and confirm the correct payment record.,MEDIUM,DUPLICATE_REVIEW,Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,YES,EXCEPTION,0.98,MULTIPLE_PAYMENTS,0.755,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The MULTIPLE_PAYMENTS exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
