transaction_id,exception_type,severity,priority,agent_decision,action_type,action_status,requires_human,action_description,next_step,hybrid_decision,execution_mode
TXN00002,MISSING_SETTLEMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00002: ESCALATE_FOR_REVIEW. Next step: Verify the settlement batch and check whether the transaction is still pending.,Verify the settlement batch and check whether the transaction is still pending.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00017,MISSING_SETTLEMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00017: ESCALATE_FOR_REVIEW. Next step: Verify the settlement batch and check whether the transaction is still pending.,Verify the settlement batch and check whether the transaction is still pending.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00019,MISSING_SETTLEMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00019: ESCALATE_FOR_REVIEW. Next step: Verify the settlement batch and check whether the transaction is still pending.,Verify the settlement batch and check whether the transaction is still pending.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00025,DUPLICATE_SETTLEMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00025: ESCALATE_FOR_REVIEW. Next step: Review the settlement records and determine whether the transaction was settled more than once.,Review the settlement records and determine whether the transaction was settled more than once.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00027,DATE_MISMATCH,LOW,LOW,DATE_REVIEW,CREATE_DATE_REVIEW,REVIEW_REQUIRED,YES,Simulated action for transaction TXN00027: DATE_REVIEW. Next step: Compare the relevant payment and settlement dates and verify the correct processing date.,Compare the relevant payment and settlement dates and verify the correct processing date.,RULE_EXCEPTION_ML_DISAGREEMENT,SIMULATED
TXN00029,PARTIAL_SETTLEMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00029: ESCALATE_FOR_REVIEW. Next step: Verify whether the remaining settlement amount is pending or was incorrectly omitted.,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00034,AMOUNT_MISMATCH,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00034: ESCALATE_FOR_REVIEW. Next step: Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00035,DUPLICATE_SETTLEMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00035: ESCALATE_FOR_REVIEW. Next step: Review the settlement records and determine whether the transaction was settled more than once.,Review the settlement records and determine whether the transaction was settled more than once.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00039,DUPLICATE_PAYMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00039: ESCALATE_FOR_REVIEW. Next step: Review the duplicate payment records and determine whether a reversal or refund is required.,Review the duplicate payment records and determine whether a reversal or refund is required.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00050,AMOUNT_MISMATCH,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00050: ESCALATE_FOR_REVIEW. Next step: Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,RULE_CONFIRMED_BY_ML,SIMULATED
