transaction_id,target_exception_type,predicted_exception_type,correct
TXN00640,NONE,NONE,True
TXN00714,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT,True
TXN00604,NONE,NONE,True
TXN00863,NONE,NONE,True
TXN00629,NONE,NONE,True
TXN00688,NONE,NONE,True
TXN00225,NONE,NONE,True
TXN00394,CHARGEBACK,CHARGEBACK,True
TXN00468,AMOUNT_MISMATCH,NONE,False
TXN00158,INCORRECT_FEE,INCORRECT_FEE,True
TXN00237,NONE,NONE,True
TXN00823,NONE,NONE,True
TXN00475,DATE_MISMATCH,NONE,False
TXN00006,NONE,NONE,True
TXN00589,NONE,NONE,True
TXN00321,NONE,NONE,True
TXN00565,NONE,NONE,True
TXN00520,NONE,NONE,True
TXN00531,NONE,NONE,True
TXN00909,NONE,NONE,True
TXN00947,NONE,NONE,True
TXN00443,NONE,NONE,True
TXN00408,NONE,NONE,True
TXN00932,NONE,NONE,True
TXN00900,NONE,NONE,True
TXN00365,MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
TXN00886,NONE,NONE,True
TXN00829,NONE,NONE,True
TXN00432,NONE,NONE,True
TXN00782,NONE,NONE,True
TXN00054,MISSING_PAYMENT,MISSING_PAYMENT,True
TXN00294,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT,True
TXN00144,NONE,NONE,True
TXN00517,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT,True
TXN00568,NONE,NONE,True
TXN00304,NONE,NONE,True
TXN00806,NONE,NONE,True
TXN00089,WRONG_TRANSACTION_REFERENCE,NONE,False
TXN00521,NONE,NONE,True
TXN00849,FAILED_PAYMENT,FAILED_PAYMENT,True
TXN00206,NONE,NONE,True
TXN00478,NONE,NONE,True
TXN00504,NONE,NONE,True
TXN00795,NONE,NONE,True
TXN00783,NONE,NONE,True
TXN00240,NONE,NONE,True
TXN00289,NONE,NONE,True
TXN00812,NONE,NONE,True
TXN00988,NONE,NONE,True
TXN00490,UNKNOWN_ADJUSTMENT,UNKNOWN_ADJUSTMENT,True
TXN00880,MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
TXN00938,NONE,NONE,True
TXN00295,NONE,NONE,True
TXN00510,NONE,NONE,True
TXN00191,NONE,NONE,True
TXN00800,REFUND,REFUND,True
TXN00759,NONE,NONE,True
TXN00465,NONE,NONE,True
TXN00696,NONE,NONE,True
TXN00036,NONE,NONE,True
TXN00199,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT,True
TXN00573,NONE,NONE,True
TXN00734,NONE,NONE,True
TXN00722,NONE,NONE,True
TXN00016,NONE,NONE,True
TXN00622,NONE,NONE,True
TXN00243,NONE,NONE,True
TXN00698,MULTIPLE_PAYMENTS,MULTIPLE_PAYMENTS,True
TXN00978,NONE,NONE,True
TXN00576,NONE,NONE,True
TXN00269,NONE,NONE,True
TXN00460,NONE,NONE,True
TXN00916,NONE,NONE,True
TXN00805,NONE,NONE,True
TXN00717,NONE,NONE,True
TXN00499,NONE,NONE,True
TXN00480,NONE,NONE,True
TXN00965,NONE,NONE,True
TXN00741,SETTLEMENT_DELAY,NONE,False
TXN00338,NONE,NONE,True
TXN00950,REFUND,REFUND,True
TXN00099,NONE,NONE,True
TXN00286,NONE,NONE,True
TXN00866,NONE,NONE,True
TXN00833,NONE,NONE,True
TXN00954,NONE,NONE,True
TXN00363,NONE,NONE,True
TXN00153,NONE,NONE,True
TXN00873,NONE,NONE,True
TXN00010,NONE,NONE,True
TXN00261,NONE,NONE,True
TXN00045,NONE,NONE,True
TXN00984,NONE,NONE,True
TXN00683,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
TXN00917,NONE,NONE,True
TXN00390,NONE,NONE,True
TXN00137,WRONG_TRANSACTION_REFERENCE,NONE,False
TXN00718,NONE,NONE,True
TXN00403,NONE,NONE,True
TXN00641,NONE,NONE,True
TXN00848,NONE,NONE,True
TXN00171,NONE,NONE,True
TXN00500,DATE_MISMATCH,NONE,False
TXN00912,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT,True
TXN00527,NONE,NONE,True
TXN00819,NONE,NONE,True
TXN00631,MISSING_PAYMENT,MISSING_PAYMENT,True
TXN00046,NONE,NONE,True
TXN00068,NONE,NONE,True
TXN00418,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT,True
TXN00706,NONE,NONE,True
TXN00275,NONE,NONE,True
TXN00610,NONE,NONE,True
TXN00623,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
TXN00263,NONE,NONE,True
TXN00864,NONE,NONE,True
TXN00855,NONE,NONE,True
TXN00300,MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
TXN00815,NONE,NONE,True
TXN00288,FAILED_PAYMENT,FAILED_PAYMENT,True
TXN00884,NONE,NONE,True
TXN00676,NONE,NONE,True
TXN00786,NONE,NONE,True
TXN00357,NONE,NONE,True
TXN00549,NONE,NONE,True
TXN00003,NONE,NONE,True
TXN00588,NONE,NONE,True
TXN00341,NONE,NONE,True
TXN00479,NONE,NONE,True
TXN00656,NONE,NONE,True
TXN00951,NONE,NONE,True
TXN00416,NONE,NONE,True
TXN00118,NONE,NONE,True
TXN00428,NONE,NONE,True
TXN00939,NONE,NONE,True
TXN00067,REFUND,REFUND,True
TXN00366,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
TXN00760,NONE,NONE,True
TXN00035,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT,True
TXN00913,NONE,NONE,True
TXN00221,NONE,NONE,True
TXN00257,SETTLEMENT_DELAY,NONE,False
TXN00943,CHARGEBACK,CHARGEBACK,True
TXN00966,MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
TXN00926,NONE,NONE,True
TXN00228,NONE,NONE,True
TXN00265,MISSING_PAYMENT,MISSING_PAYMENT,True
TXN00249,NONE,NONE,True
TXN00960,FAILED_PAYMENT,FAILED_PAYMENT,True
TXN00692,NONE,NONE,True
TXN00509,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT,True
TXN00857,NONE,NONE,True
TXN00552,NONE,NONE,True
TXN00154,NONE,NONE,True
TXN00355,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
TXN00168,NONE,NONE,True
TXN00172,NONE,NONE,True
TXN00946,NONE,NONE,True
TXN00133,NONE,NONE,True
TXN00247,NONE,NONE,True
TXN00495,NONE,NONE,True
TXN00890,NONE,NONE,True
TXN00778,NONE,NONE,True
TXN00402,INCORRECT_FEE,INCORRECT_FEE,True
TXN00278,NONE,NONE,True
TXN00767,NONE,NONE,True
TXN00508,AMOUNT_MISMATCH,PARTIAL_SETTLEMENT,False
TXN00963,NONE,NONE,True
TXN00804,NONE,NONE,True
TXN00742,MISSING_PAYMENT,MISSING_PAYMENT,True
TXN00104,NONE,NONE,True
TXN00066,NONE,NONE,True
TXN00372,NONE,NONE,True
TXN00145,NONE,NONE,True
TXN00310,NONE,NONE,True
TXN00503,NONE,NONE,True
TXN00920,NONE,NONE,True
TXN00141,NONE,NONE,True
TXN00697,NONE,NONE,True
TXN00514,NONE,NONE,True
TXN00176,NONE,NONE,True
TXN00969,NONE,NONE,True
TXN00763,NONE,NONE,True
TXN00802,NONE,NONE,True
TXN00177,NONE,NONE,True
TXN00420,NONE,NONE,True
TXN00431,NONE,NONE,True
TXN00762,NONE,NONE,True
TXN00971,NONE,NONE,True
TXN00715,NONE,NONE,True
TXN00898,NONE,NONE,True
TXN00487,NONE,NONE,True
TXN00853,NONE,NONE,True
TXN00277,NONE,NONE,True
TXN00934,NONE,NONE,True
TXN00115,NONE,NONE,True
TXN00708,NONE,NONE,True
TXN00315,NONE,NONE,True
TXN00634,NONE,NONE,True
TXN00842,NONE,NONE,True
