transaction_id,exception_type,severity,resolution_category,priority,next_step,escalation_required,recommended_action,ai_explanation,explanation_source
TXN00002,MISSING_SETTLEMENT,HIGH,SETTLEMENT_REVIEW,HIGH,Verify the settlement batch and check whether the transaction is still pending.,YES,Verify the settlement batch and check whether the transaction is still pending.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00002. No settlement record was found for transaction TXN00002. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI
TXN00017,MISSING_SETTLEMENT,HIGH,SETTLEMENT_REVIEW,HIGH,Verify the settlement batch and check whether the transaction is still pending.,YES,Verify the settlement batch and check whether the transaction is still pending.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00017. No settlement record was found for transaction TXN00017. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI
TXN00019,MISSING_SETTLEMENT,HIGH,SETTLEMENT_REVIEW,HIGH,Verify the settlement batch and check whether the transaction is still pending.,YES,Verify the settlement batch and check whether the transaction is still pending.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00019. No settlement record was found for transaction TXN00019. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI
TXN00025,DUPLICATE_SETTLEMENT,MEDIUM,DUPLICATE_REVIEW,MEDIUM,Review the settlement records and determine whether the transaction was settled more than once.,YES,Verify the duplicate settlement entries and investigate possible over-settlement.,"A DUPLICATE_SETTLEMENT exception was identified for transaction TXN00025 due to multiple settlement records being detected, resulting in a discrepancy of -11.78. Multiple settlement records were found for transaction TXN00025, including a duplicate settlement. Verify the duplicate settlement entries and investigate possible over-settlement.",GEMINI
TXN00027,DATE_MISMATCH,LOW,DATE_REVIEW,LOW,Compare the relevant payment and settlement dates and verify the correct processing date.,NO,Verify the payment processing date against the source payment record.,Transaction TXN00027 has triggered a low-severity DATE_MISMATCH exception because The payment date differs from the clean reference payment date. (date difference: 0.0). Please perform the following recommended action to resolve the discrepancy: Verify the payment processing date against the source payment record..,GEMINI
TXN00029,PARTIAL_SETTLEMENT,MEDIUM,SETTLEMENT_REVIEW,MEDIUM,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,Verify whether the remaining amount is pending or was incorrectly settled.,A PARTIAL_SETTLEMENT exception with MEDIUM severity was identified for transaction TXN00029. The settlement amount is lower than the expected gross settlement amount. Settlement reconciliation shows a difference of 99.8. Recommended action: Verify whether the remaining amount is pending or was incorrectly settled.,RULE_TEMPLATE
TXN00034,AMOUNT_MISMATCH,HIGH,FINANCIAL_REVIEW,HIGH,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,Compare the expected and actual settlement amounts and investigate the difference.,Transaction TXN00034 triggered a HIGH severity AMOUNT_MISMATCH exception. The settlement amount does not match the clean reference amount. A variance of 500.0 was detected during reconciliation. Recommended action: Compare the expected and actual settlement amounts and investigate the difference.,GEMINI
TXN00035,DUPLICATE_SETTLEMENT,MEDIUM,DUPLICATE_REVIEW,MEDIUM,Review the settlement records and determine whether the transaction was settled more than once.,YES,Verify the duplicate settlement entries and investigate possible over-settlement.,"A DUPLICATE_SETTLEMENT exception was identified for transaction TXN00035 due to multiple settlement records being detected, resulting in a discrepancy of -283.16. Multiple settlement records were found for transaction TXN00035, including a duplicate settlement. Verify the duplicate settlement entries and investigate possible over-settlement.",GEMINI
TXN00039,DUPLICATE_PAYMENT,MEDIUM,DUPLICATE_REVIEW,MEDIUM,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,Verify the duplicate payment records and determine whether a reversal or refund is required.,"A DUPLICATE_PAYMENT exception with MEDIUM severity has been identified for transaction TXN00039. Multiple payment records were found for transaction TXN00039, including a duplicate payment. Variance: 299.0. Recommended action: Verify the duplicate payment records and determine whether a reversal or refund is required.",GEMINI
TXN00050,AMOUNT_MISMATCH,HIGH,FINANCIAL_REVIEW,HIGH,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,Compare the expected and actual settlement amounts and investigate the difference.,Transaction TXN00050 triggered a HIGH severity AMOUNT_MISMATCH exception. The settlement amount does not match the clean reference amount. A variance of 981.32 was detected during reconciliation. Recommended action: Compare the expected and actual settlement amounts and investigate the difference.,GEMINI
TXN00051,MULTIPLE_PAYMENTS,MEDIUM,DUPLICATE_REVIEW,MEDIUM,Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,YES,Verify why multiple payments exist for the same transaction and confirm the correct payment record.,A MULTIPLE_PAYMENTS exception with MEDIUM severity was identified for transaction TXN00051. Multiple payment records exist for transaction TXN00051. Recommended action: Verify why multiple payments exist for the same transaction and confirm the correct payment record.,GEMINI
TXN00054,MISSING_PAYMENT,HIGH,PAYMENT_REVIEW,HIGH,Verify the payment gateway records and confirm whether the payment was received.,YES,Verify payment gateway records and confirm whether the payment was received.,A high-severity MISSING_PAYMENT exception was detected for transaction TXN00054. No payment record was found for transaction TXN00054. Discrepancy amount: 1999.0. Recommended action: Verify payment gateway records and confirm whether the payment was received.,GEMINI
TXN00057,MISSING_PAYMENT,HIGH,PAYMENT_REVIEW,HIGH,Verify the payment gateway records and confirm whether the payment was received.,YES,Verify payment gateway records and confirm whether the payment was received.,A high-severity MISSING_PAYMENT exception was detected for transaction TXN00057. No payment record was found for transaction TXN00057. Discrepancy amount: 5999.0. Recommended action: Verify payment gateway records and confirm whether the payment was received.,GEMINI
