transaction_id,status,exception_type,severity,explanation,evidence,difference,recommended_action
TXN00001,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00002,EXCEPTION,MISSING_SETTLEMENT,HIGH,No settlement record was found for transaction TXN00002.,"Settlement records found: 0; payment total: ₹5,999.00.",5999.0,Verify the settlement batch and check whether the transaction is still pending.
TXN00003,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00004,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00005,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00006,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00007,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00008,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00009,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00010,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00011,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00012,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00013,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00014,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00015,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00016,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00017,EXCEPTION,MISSING_SETTLEMENT,HIGH,No settlement record was found for transaction TXN00017.,Settlement records found: 0; payment total: ₹999.00.,999.0,Verify the settlement batch and check whether the transaction is still pending.
TXN00018,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00019,EXCEPTION,MISSING_SETTLEMENT,HIGH,No settlement record was found for transaction TXN00019.,Settlement records found: 0; payment total: ₹299.00.,299.0,Verify the settlement batch and check whether the transaction is still pending.
TXN00020,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00021,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00022,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00023,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00024,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00025,EXCEPTION,DUPLICATE_SETTLEMENT,MEDIUM,"Multiple settlement records were found for transaction TXN00025, including a duplicate settlement.",Settlement records: 2; total settlement amount: ₹986.22.,-11.78,Verify the duplicate settlement entries and investigate possible over-settlement.
TXN00026,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00027,EXCEPTION,DATE_MISMATCH,LOW,The payment date differs from the clean reference payment date.,Actual payment date: 2026-06-03; reference payment date: 2026-05-24.,0.0,Verify the payment processing date against the source payment record.
TXN00028,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00029,EXCEPTION,PARTIAL_SETTLEMENT,MEDIUM,The settlement amount is lower than the expected gross settlement amount.,Gross settlement: ₹499.00; actual net settlement: ₹399.20; difference: ₹99.80.,99.8,Verify whether the remaining amount is pending or was incorrectly settled.
TXN00030,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00031,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00032,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00033,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00034,EXCEPTION,AMOUNT_MISMATCH,HIGH,The settlement amount does not match the clean reference amount.,Expected settlement: ₹784.86; actual settlement: ₹284.86; difference: ₹500.00.,500.0,Compare the expected and actual settlement amounts and investigate the difference.
TXN00035,EXCEPTION,DUPLICATE_SETTLEMENT,MEDIUM,"Multiple settlement records were found for transaction TXN00035, including a duplicate settlement.","Settlement records: 2; total settlement amount: ₹15,714.84.",-283.16,Verify the duplicate settlement entries and investigate possible over-settlement.
TXN00036,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00037,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00038,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00039,EXCEPTION,DUPLICATE_PAYMENT,MEDIUM,"Multiple payment records were found for transaction TXN00039, including a duplicate payment.",Payment records: 2; total payment amount: ₹598.00.,299.0,Verify the duplicate payment records and determine whether a reversal or refund is required.
TXN00040,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00041,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
TXN00042,MATCHED,MATCHED,NONE,"Payment, bank and settlement records passed all reconciliation checks.",No reconciliation exception was detected.,0.0,No action required.
