transaction_id,order_amount,payment_total,bank_total,settlement_gross_total,settlement_net_total,settlement_fee_total,settlement_tax_total,settlement_adjustment_total,settlement_refund_total,settlement_chargeback_total,status,exception_type,severity,difference,ai_explanation,recommended_action,explanation_source,ml_status,ml_exception_probability,ml_predicted_exception_type,ml_exception_type_probability,hybrid_decision,ml_agrees_with_rule_status,ml_agrees_with_rule_exception_type,agent_decision,agent_decision_reason,action_type,action_status,requires_human,execution_mode,escalation_required,escalation_priority,escalation_status,audit_id,audit_event_status,review_case_id,review_priority,queue_status,review_status,requires_human_review,is_exception,is_escalated,is_pending_review,ml_supported_exception,ml_disagreement,ml_confirmed_rule_match
TXN00001,799,799.0,799,799.0,789.57,7.99,1.44,0.0,0.0,0.0,MATCHED,MATCHED,,0.0,,,,MATCHED,0.065,NONE,0.965,RULE_MATCHED,True,False,,,,,,,,,,,,,,,,,0,0,0,0,0,0
TXN00002,5999,5999.0,5999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXCEPTION,MISSING_SETTLEMENT,HIGH,5999.0,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00002. No settlement record was found for transaction TXN00002. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,Verify the settlement batch and check whether the transaction is still pending.,GEMINI,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,True,True,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,YES,URGENT,OPEN,AUDIT_00001,OPEN,REVIEW_00001,URGENT,WAITING_FOR_REVIEW,PENDING,YES,1,1,1,0,0,1
TXN00003,299,299.0,299,299.0,294.76,3.59,0.65,0.0,0.0,0.0,MATCHED,MATCHED,,0.0,,,,MATCHED,0.02,NONE,0.985,RULE_MATCHED,True,False,,,,,,,,,,,,,,,,,0,0,0,0,0,0
TXN00004,199,199.0,199,199.0,196.65,1.99,0.36,0.0,0.0,0.0,MATCHED,MATCHED,,0.0,,,,MATCHED,0.02,NONE,0.975,RULE_MATCHED,True,False,,,,,,,,,,,,,,,,,0,0,0,0,0,0
TXN00005,2499,2499.0,2499,2499.0,2440.02,49.98,9.0,0.0,0.0,0.0,MATCHED,MATCHED,,0.0,,,,MATCHED,0.015,NONE,0.975,RULE_MATCHED,True,False,,,,,,,,,,,,,,,,,0,0,0,0,0,0
TXN00006,1999,1999.0,1999,1999.0,1951.82,39.98,7.2,0.0,0.0,0.0,MATCHED,MATCHED,,0.0,,,,MATCHED,0.005,NONE,0.995,RULE_MATCHED,True,False,,,,,,,,,,,,,,,,,0,0,0,0,0,0
TXN00007,7999,7999.0,7999,7999.0,7904.61,79.99,14.4,0.0,0.0,0.0,MATCHED,MATCHED,,0.0,,,,MATCHED,0.0,NONE,1.0,RULE_MATCHED,True,False,,,,,,,,,,,,,,,,,0,0,0,0,0,0
TXN00008,299,299.0,299,299.0,295.47,2.99,0.54,0.0,0.0,0.0,MATCHED,MATCHED,,0.0,,,,MATCHED,0.02,NONE,0.995,RULE_MATCHED,True,False,,,,,,,,,,,,,,,,,0,0,0,0,0,0
TXN00009,7999,7999.0,7999,7999.0,7885.73,95.99,17.28,0.0,0.0,0.0,MATCHED,MATCHED,,0.0,,,,MATCHED,0.015,NONE,0.99,RULE_MATCHED,True,False,,,,,,,,,,,,,,,,,0,0,0,0,0,0
TXN00010,1999,1999.0,1999,1999.0,1951.82,39.98,7.2,0.0,0.0,0.0,MATCHED,MATCHED,,0.0,,,,MATCHED,0.015,NONE,0.995,RULE_MATCHED,True,False,,,,,,,,,,,,,,,,,0,0,0,0,0,0
