transaction_id,rule_status,rule_exception_type,ml_exception_prediction,ml_exception_probability,ml_predicted_exception_type,ml_exception_type_probability,ml_status,ml_agrees_with_rule_status,ml_agrees_with_rule_exception_type,hybrid_decision
TXN00001,MATCHED,MATCHED,0,0.065,NONE,0.965,MATCHED,True,False,RULE_MATCHED
TXN00002,EXCEPTION,MISSING_SETTLEMENT,1,1.0,MISSING_SETTLEMENT,1.0,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00003,MATCHED,MATCHED,0,0.02,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00004,MATCHED,MATCHED,0,0.02,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00005,MATCHED,MATCHED,0,0.015,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00006,MATCHED,MATCHED,0,0.005,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00007,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00008,MATCHED,MATCHED,0,0.02,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00009,MATCHED,MATCHED,0,0.015,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00010,MATCHED,MATCHED,0,0.015,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00011,MATCHED,MATCHED,0,0.01,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00012,MATCHED,MATCHED,0,0.085,NONE,0.925,MATCHED,True,False,RULE_MATCHED
TXN00013,MATCHED,MATCHED,0,0.0,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00014,MATCHED,MATCHED,0,0.005,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00015,MATCHED,MATCHED,0,0.06,NONE,0.945,MATCHED,True,False,RULE_MATCHED
TXN00016,MATCHED,MATCHED,0,0.055,NONE,0.935,MATCHED,True,False,RULE_MATCHED
TXN00017,EXCEPTION,MISSING_SETTLEMENT,1,1.0,MISSING_SETTLEMENT,1.0,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00018,MATCHED,MATCHED,0,0.0,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00019,EXCEPTION,MISSING_SETTLEMENT,1,1.0,MISSING_SETTLEMENT,0.99,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00020,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00021,MATCHED,MATCHED,0,0.005,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00022,MATCHED,MATCHED,0,0.01,NONE,0.98,MATCHED,True,False,RULE_MATCHED
TXN00023,MATCHED,MATCHED,0,0.06,NONE,0.955,MATCHED,True,False,RULE_MATCHED
TXN00024,MATCHED,MATCHED,0,0.013000000000000001,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00025,EXCEPTION,DUPLICATE_SETTLEMENT,1,0.955,DUPLICATE_SETTLEMENT,0.94,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00026,MATCHED,MATCHED,0,0.015,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00027,EXCEPTION,DATE_MISMATCH,0,0.029857142857142856,DATE_MISMATCH,0.595,MATCHED,False,True,RULE_EXCEPTION_ML_DISAGREEMENT
TXN00028,MATCHED,MATCHED,0,0.0,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00029,EXCEPTION,PARTIAL_SETTLEMENT,1,0.92,PARTIAL_SETTLEMENT,0.64,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00030,MATCHED,MATCHED,0,0.003333333333333333,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00031,MATCHED,MATCHED,0,0.005,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00032,MATCHED,MATCHED,0,0.005,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00033,MATCHED,MATCHED,0,0.02,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00034,EXCEPTION,AMOUNT_MISMATCH,1,0.98,AMOUNT_MISMATCH,0.945,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00035,EXCEPTION,DUPLICATE_SETTLEMENT,1,0.91,DUPLICATE_SETTLEMENT,0.945,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00036,MATCHED,MATCHED,0,0.245,NONE,0.97,MATCHED,True,False,RULE_MATCHED
TXN00037,MATCHED,MATCHED,0,0.01,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00038,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00039,EXCEPTION,DUPLICATE_PAYMENT,1,0.975,DUPLICATE_PAYMENT,0.915,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00040,MATCHED,MATCHED,0,0.02,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00041,MATCHED,MATCHED,0,0.01,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00042,MATCHED,MATCHED,0,0.205,NONE,0.94,MATCHED,True,False,RULE_MATCHED
TXN00043,MATCHED,MATCHED,0,0.005,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00044,MATCHED,MATCHED,0,0.054000000000000006,NONE,0.96,MATCHED,True,False,RULE_MATCHED
TXN00045,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00046,MATCHED,MATCHED,0,0.02,NONE,0.97,MATCHED,True,False,RULE_MATCHED
TXN00047,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00048,MATCHED,MATCHED,0,0.10830303030303032,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00049,MATCHED,MATCHED,0,0.01,NONE,0.985,MATCHED,True,False,RULE_MATCHED
