exception_type,severity,ai_template,source
AMOUNT_MISMATCH,HIGH,Transaction {transaction_id} triggered a HIGH severity AMOUNT_MISMATCH exception. {deterministic_explanation} A variance of {difference} was detected during reconciliation. Recommended action: {recommended_action},GEMINI
CHARGEBACK,HIGH,A high-severity CHARGEBACK exception was detected for transaction {transaction_id}. {deterministic_explanation} The variance associated with this transaction is {difference}. {recommended_action},GEMINI
DATE_MISMATCH,LOW,Transaction {transaction_id} has triggered a low-severity DATE_MISMATCH exception because {deterministic_explanation} (date difference: {difference}). Please perform the following recommended action to resolve the discrepancy: {recommended_action}.,GEMINI
DUPLICATE_PAYMENT,MEDIUM,A DUPLICATE_PAYMENT exception with MEDIUM severity has been identified for transaction {transaction_id}. {deterministic_explanation} Variance: {difference}. Recommended action: {recommended_action},GEMINI
DUPLICATE_SETTLEMENT,MEDIUM,"A DUPLICATE_SETTLEMENT exception was identified for transaction {transaction_id} due to multiple settlement records being detected, resulting in a discrepancy of {difference}. {deterministic_explanation} {recommended_action}",GEMINI
FAILED_PAYMENT,HIGH,A HIGH-severity FAILED_PAYMENT exception has been flagged for transaction {transaction_id}. {deterministic_explanation} Please review the record and proceed with the recommended action: {recommended_action},GEMINI
INCORRECT_FEE,MEDIUM,"An INCORRECT_FEE exception of Medium severity has been flagged for transaction {transaction_id}. {deterministic_explanation} A fee variance of {difference} was identified. To reconcile this discrepancy, please proceed with the recommended action: {recommended_action}.",GEMINI
MISSING_PAYMENT,HIGH,A high-severity MISSING_PAYMENT exception was detected for transaction {transaction_id}. {deterministic_explanation} Discrepancy amount: {difference}. Recommended action: {recommended_action},GEMINI
MISSING_SETTLEMENT,HIGH,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction {transaction_id}. {deterministic_explanation} Recommended action: {recommended_action},GEMINI
MULTIPLE_PAYMENTS,MEDIUM,A MULTIPLE_PAYMENTS exception with MEDIUM severity was identified for transaction {transaction_id}. {deterministic_explanation} Recommended action: {recommended_action},GEMINI
PARTIAL_SETTLEMENT,MEDIUM,A PARTIAL_SETTLEMENT exception with MEDIUM severity was identified for transaction {transaction_id}. {deterministic_explanation} Settlement reconciliation shows a difference of {difference}. Recommended action: {recommended_action},RULE_TEMPLATE
REFUND,HIGH,A HIGH-severity REFUND exception was identified for transaction {transaction_id}. {deterministic_explanation} The associated difference is {difference}. Recommended action: {recommended_action},RULE_TEMPLATE
SETTLEMENT_DELAY,LOW,A low-severity SETTLEMENT_DELAY exception was identified for transaction {transaction_id}. {deterministic_explanation} The settlement timing difference is {difference}. Recommended action: {recommended_action},RULE_TEMPLATE
UNKNOWN_ADJUSTMENT,MEDIUM,An UNKNOWN_ADJUSTMENT exception with MEDIUM severity was identified for transaction {transaction_id}. {deterministic_explanation} The adjustment difference is {difference}. Recommended action: {recommended_action},RULE_TEMPLATE
WRONG_TRANSACTION_REFERENCE,MEDIUM,A WRONG_TRANSACTION_REFERENCE exception with MEDIUM severity was identified for transaction {transaction_id}. {deterministic_explanation} The reconciliation difference is {difference}. Recommended action: {recommended_action},RULE_TEMPLATE
