transaction_id,status,exception_type,difference,severity,explanation,recommended_action,priority,resolution_category,next_step,escalation_required,ml_status,ml_exception_probability,ml_predicted_exception_type,ml_exception_type_probability,ml_agrees_with_rule_status,ml_agrees_with_rule_exception_type,hybrid_decision
TXN00002,EXCEPTION,MISSING_SETTLEMENT,5999.0,HIGH,No settlement record was found for transaction TXN00002.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,True,True,RULE_CONFIRMED_BY_ML
TXN00017,EXCEPTION,MISSING_SETTLEMENT,999.0,HIGH,No settlement record was found for transaction TXN00017.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,True,True,RULE_CONFIRMED_BY_ML
TXN00019,EXCEPTION,MISSING_SETTLEMENT,299.0,HIGH,No settlement record was found for transaction TXN00019.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,0.99,True,True,RULE_CONFIRMED_BY_ML
TXN00025,EXCEPTION,DUPLICATE_SETTLEMENT,-11.78,MEDIUM,"Multiple settlement records were found for transaction TXN00025, including a duplicate settlement.",Verify the duplicate settlement entries and investigate possible over-settlement.,MEDIUM,DUPLICATE_REVIEW,Review the settlement records and determine whether the transaction was settled more than once.,YES,EXCEPTION,0.955,DUPLICATE_SETTLEMENT,0.94,True,True,RULE_CONFIRMED_BY_ML
TXN00027,EXCEPTION,DATE_MISMATCH,0.0,LOW,The payment date differs from the clean reference payment date.,Verify the payment processing date against the source payment record.,LOW,DATE_REVIEW,Compare the relevant payment and settlement dates and verify the correct processing date.,NO,MATCHED,0.0298571428571428,DATE_MISMATCH,0.595,False,True,RULE_EXCEPTION_ML_DISAGREEMENT
TXN00029,EXCEPTION,PARTIAL_SETTLEMENT,99.8,MEDIUM,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,0.92,PARTIAL_SETTLEMENT,0.64,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00034,EXCEPTION,AMOUNT_MISMATCH,500.0,HIGH,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,0.98,AMOUNT_MISMATCH,0.945,True,True,RULE_CONFIRMED_BY_ML
TXN00035,EXCEPTION,DUPLICATE_SETTLEMENT,-283.16,MEDIUM,"Multiple settlement records were found for transaction TXN00035, including a duplicate settlement.",Verify the duplicate settlement entries and investigate possible over-settlement.,MEDIUM,DUPLICATE_REVIEW,Review the settlement records and determine whether the transaction was settled more than once.,YES,EXCEPTION,0.91,DUPLICATE_SETTLEMENT,0.945,True,True,RULE_CONFIRMED_BY_ML
TXN00039,EXCEPTION,DUPLICATE_PAYMENT,299.0,MEDIUM,"Multiple payment records were found for transaction TXN00039, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.975,DUPLICATE_PAYMENT,0.915,True,True,RULE_CONFIRMED_BY_ML
TXN00050,EXCEPTION,AMOUNT_MISMATCH,981.32,HIGH,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,1.0,AMOUNT_MISMATCH,0.91,True,True,RULE_CONFIRMED_BY_ML
